"gene","Balbc.sig","Balbc.dir","Nude.sig","Nude.dir","SigCode","DirAgree","protein.name","submitted.name","pathway","protein.function","keywords"
"UniRef90_A0A371N5K1","not","pos","sig","pos","Nude sig",TRUE,NA,"Prephenate dehydratase",NA,NA,""
"UniRef90_A0A371N689","NA","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371N692","not","pos","sig","pos","Nude sig",TRUE,"Enolase_N domain-containing protein",NA,NA,NA,""
"UniRef90_A0A371N6N2","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A371N801","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371N8H4","sig","neg","sig","neg","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371N9U7","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371NAL4","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371NB90","NA","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A371NBD8","sig","pos","sig","neg","Disagree",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A371NBG7","not","neg","sig","pos","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3A8VK71","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3A8VU78","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3A8VUU9","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3A8W1J6","NA","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3A8W722","sig","neg","sig","neg","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3A8W8N7","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3A8WAB9","not","neg","sig","pos","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3A8WE11","sig","neg","sig","pos","Disagree",FALSE,"TPP_enzyme_N domain-containing protein",NA,NA,NA,""
"UniRef90_A0A3D8Z307","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3D8Z434","NA","neg","sig","pos","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3D8Z535","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3D8Z6A9","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3D8Z7X3","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3D8Z8C2","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_A0A3D8ZNF1","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3D8ZNF8","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_A0A3E2DDC5","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D1YAU3","sig","pos","sig","pos","Agree",TRUE,"Transcriptional regulator",NA,NA,NA,""
"UniRef90_D1YBD6","not","pos","sig","pos","Nude sig",TRUE,"LysR family transcriptional regulator",NA,NA,NA,""
"UniRef90_D1YBG4","not","pos","sig","pos","Nude sig",TRUE,"SAM-dependent methyltransferase",NA,NA,NA,""
"UniRef90_D1YCI3","NA","pos","sig","pos","Nude sig",TRUE,"Secreted protein",NA,NA,NA,""
"UniRef90_D1YD72","NA","pos","sig","neg","Nude sig",FALSE,"Peroxiredoxin",NA,NA,NA,""
"UniRef90_D1YFG6","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_D4H9A2","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4H9K3","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HAK2","NA","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HAX9","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HCE8","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HCF9","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HCJ2","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HCQ0","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HDA9","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HDF2","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HEP5","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HEP8","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HF27","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_D4HFF1","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_D4HFI9","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_E4HGJ7","not","pos","sig","neg","Nude sig",FALSE,"HTH araC/xylS-type domain-containing protein",NA,NA,NA,""
"UniRef90_E6D3J4","NA","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_E6D529","not","pos","sig","neg","Nude sig",FALSE,"DUF2292 domain-containing protein",NA,NA,NA,""
"UniRef90_E6D598","not","pos","sig","neg","Nude sig",FALSE,"PTS EIIC type-3 domain-containing protein",NA,NA,NA,"Cell membrane;Membrane;Sugar transport;Transmembrane;Transmembrane helix;Transport"
"UniRef90_E6D6H5","not","pos","sig","neg","Nude sig",FALSE,"Transposase",NA,NA,NA,""
"UniRef90_E6D6K0","not","pos","sig","pos","Nude sig",TRUE,"Transposase",NA,NA,NA,""
"UniRef90_E6D6N8","NA","neg","sig","neg","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_E6D6X8","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,""
"UniRef90_E6D7Y9","not","neg","sig","pos","Nude sig",FALSE,"Transposase",NA,NA,NA,""
"UniRef90_E6D8K0","not","pos","sig","pos","Nude sig",TRUE,"Colicin V production protein",NA,NA,NA,""
"UniRef90_E6D8U5","NA","pos","sig","neg","Nude sig",FALSE,"Oxidoreductase",NA,NA,NA,""
"UniRef90_E6D9G3","NA","neg","sig","pos","Nude sig",FALSE,"Secreted protein",NA,NA,NA,""
"UniRef90_E6DAF8","not","pos","sig","pos","Nude sig",TRUE,"Transposase",NA,NA,NA,""
"UniRef90_F3P1I8","not","pos","sig","neg","Nude sig",FALSE,NA,"Phosphotransferase enzyme family protein",NA,NA,"Transferase"
"UniRef90_F3P4K4","not","pos","sig","pos","Nude sig",TRUE,NA,"Toxin-antitoxin system, toxin component domain protein",NA,NA,""
"UniRef90_F9NTC1","NA","pos","sig","pos","Nude sig",TRUE,NA,"DivIVA protein",NA,NA,"Coiled coil"
"UniRef90_F9NV28","sig","pos","sig","neg","Disagree",FALSE,"DUF3499 domain-containing protein",NA,NA,NA,""
"UniRef90_F9NV88","sig","pos","sig","pos","Agree",TRUE,NA,"Addiction module toxin, RelE/StbE family",NA,NA,"Toxin-antitoxin system"
"UniRef90_F9NVW8","not","pos","sig","neg","Nude sig",FALSE,NA,"Drug resistance MFS transporter, drug:H+ antiporter-2 family",NA,NA,"Membrane;Transmembrane;Transmembrane helix"
"UniRef90_F9NWR2","not","pos","sig","pos","Nude sig",TRUE,NA,"Alanine racemase, N-terminal domain protein",NA,NA,""
"UniRef90_F9NXM3","not","pos","sig","neg","Nude sig",FALSE,NA,"ABC transporter, ATP-binding protein",NA,NA,"ATP-binding;Nucleotide-binding"
"UniRef90_F9NYH1","not","pos","sig","pos","Nude sig",TRUE,NA,"Methylmalonyl-CoA carboxyltransferase 1.3S subunit",NA,NA,"Biotin;Transferase"
"UniRef90_G4CVG2","not","pos","sig","neg","Nude sig",FALSE,NA,"Enoyl-CoA hydratase/isomerase",NA,NA,"Hydrolase;Isomerase;Lyase;Reference proteome"
"UniRef90_G4CX06","not","pos","sig","neg","Nude sig",FALSE,NA,"Ribose ABC superfamily ATP binding cassette transporter, binding protein",NA,NA,"Reference proteome;Signal"
"UniRef90_G4CYY8","not","pos","sig","pos","Nude sig",TRUE,"Hydrolase",NA,NA,NA,"Reference proteome"
"UniRef90_H9ZMR1","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,"Membrane;Transmembrane;Transmembrane helix"
"UniRef90_H9ZMR4","not","pos","sig","pos","Nude sig",TRUE,NA,"Pilus assembly protein TadE",NA,NA,"Membrane;Transmembrane;Transmembrane helix"
"UniRef90_H9ZMS1","NA","neg","sig","neg","Nude sig",TRUE,"EAL domain-containing protein",NA,NA,NA,""
"UniRef90_Q6A5C0","not","pos","sig","neg","Nude sig",FALSE,"SURF1-like protein",NA,NA,NA,"Cell membrane;Membrane;Transmembrane;Transmembrane helix"
"UniRef90_Q6A5U7","not","pos","sig","pos","Nude sig",TRUE,"50S ribosomal protein L33 2",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_Q6A5U8","not","neg","sig","pos","Nude sig",FALSE,"50S ribosomal protein L28",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_Q6A6J5","not","pos","sig","pos","Nude sig",TRUE,"50S ribosomal protein L33 1",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_Q6A6N0","not","pos","sig","neg","Nude sig",FALSE,"30S ribosomal protein S19",NA,NA,"Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA","Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding"
"UniRef90_Q6A6N5","not","pos","sig","neg","Nude sig",FALSE,"30S ribosomal protein S17",NA,NA,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA","Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding"
"UniRef90_Q6A6P0","not","neg","sig","pos","Nude sig",FALSE,"30S ribosomal protein S8",NA,NA,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit","Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding"
"UniRef90_Q6A6P1","not","neg","sig","neg","Nude sig",TRUE,"50S ribosomal protein L6",NA,NA,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7/L12 stalk, and near the tRNA binding site of the peptidyltransferase center","Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding"
"UniRef90_Q6A6T3","sig","pos","sig","neg","Disagree",FALSE,"50S ribosomal protein L13",NA,NA,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly","Ribonucleoprotein;Ribosomal protein"
"UniRef90_Q6A6T7","not","pos","sig","neg","Nude sig",FALSE,"Pantothenate kinase",NA,"Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 1/5",NA,"ATP-binding;Coenzyme A biosynthesis;Cytoplasm;Kinase;Nucleotide-binding;Transferase"
"UniRef90_Q6A6W1","sig","pos","sig","neg","Disagree",FALSE,"Co-chaperonin GroES",NA,NA,"Together with the chaperonin GroEL, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. GroES binds to the apical surface of the GroEL ring, thereby capping the opening of the GroEL channel","Chaperone;Cytoplasm"
"UniRef90_Q6A749","sig","pos","sig","pos","Agree",TRUE,NA,"Conserved protein",NA,NA,""
"UniRef90_Q6A7P7","not","pos","sig","neg","Nude sig",FALSE,"4-hydroxy-tetrahydrodipicolinate reductase",NA,"Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4","Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate","Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Lysine biosynthesis;NAD;NADP;Oxidoreductase"
"UniRef90_Q6A7V2","not","pos","sig","neg","Nude sig",FALSE,"50S ribosomal protein L35",NA,NA,NA,"Ribonucleoprotein;Ribosomal protein"
"UniRef90_Q6A7Y5","not","pos","sig","pos","Nude sig",TRUE,"Sec-independent protein translocase protein TatA",NA,NA,"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system","Cell membrane;Membrane;Protein transport;Translocation;Transmembrane;Transmembrane helix;Transport"
"UniRef90_Q6A7Z9","not","pos","sig","pos","Nude sig",TRUE,NA,"3-isopropylmalate dehydratase large subunit",NA,NA,"Iron;Iron-sulfur;Lyase;Metal-binding"
"UniRef90_Q6A814","not","neg","sig","neg","Nude sig",TRUE,"Acetylglutamate kinase",NA,"Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 2/4","Catalyzes the ATP-dependent phosphorylation of N-acetyl-L-glutamate","Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Transferase"
"UniRef90_Q6A8B4","NA","pos","sig","pos","Nude sig",TRUE,"50S ribosomal protein L31",NA,NA,"Binds the 23S rRNA","Metal-binding;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;Zinc"
"UniRef90_Q6A8F5","sig","pos","sig","neg","Disagree",FALSE,"DUF4157 domain-containing protein",NA,NA,NA,""
"UniRef90_Q6A8H5","not","neg","sig","neg","Nude sig",TRUE,"DNA-directed RNA polymerase subunit omega",NA,NA,"Promotes RNA polymerase assembly. Latches the N- and C-terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits","DNA-directed RNA polymerase;Nucleotidyltransferase;Transcription;Transferase"
"UniRef90_Q6A9B3","not","pos","sig","neg","Nude sig",FALSE,"30S ribosomal protein S20",NA,NA,"Binds directly to 16S ribosomal RNA","Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding"
"UniRef90_Q6A9J5","not","pos","sig","neg","Nude sig",FALSE,"Probable cell division protein WhiA",NA,NA,"Involved in cell division and chromosome segregation","Cell cycle;Cell division;DNA-binding"
"UniRef90_Q6A9Q5","not","pos","sig","pos","Nude sig",TRUE,"Phospho-N-acetylmuramoyl-pentapeptide-transferase",NA,"Cell wall biogenesis; peptidoglycan biosynthesis","Catalyzes the initial step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan: transfers peptidoglycan precursor phospho-MurNAc-pentapeptide from UDP-MurNAc-pentapeptide onto the lipid carrier undecaprenyl phosphate, yielding undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide, known as lipid I","Cell cycle;Cell division;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Magnesium;Membrane;Metal-binding;Peptidoglycan synthesis;Transferase;Transmembrane;Transmembrane helix"
"UniRef90_Q6A9R5","not","pos","sig","neg","Nude sig",FALSE,"Secreted protein",NA,NA,NA,""
"UniRef90_Q6A9Z0","not","pos","sig","neg","Nude sig",FALSE,"Lipoprotein",NA,NA,NA,"Signal"
"UniRef90_Q6AA93","not","pos","sig","neg","Nude sig",FALSE,"Exodeoxyribonuclease 7 small subunit",NA,NA,"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides","Cytoplasm;Exonuclease;Hydrolase;Nuclease"
"UniRef90_Q6AAQ5","not","pos","sig","neg","Nude sig",FALSE,NA,"Conserved protein",NA,NA,""
"UniRef90_Q6AB99","not","neg","sig","neg","Nude sig",TRUE,"Recombination protein RecR",NA,NA,"May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO","DNA damage;DNA recombination;DNA repair;Metal-binding;Zinc;Zinc-finger"
"UniRef90_Q6ABQ2","NA","neg","sig","neg","Nude sig",TRUE,"Inosine-guanosine phosphorylase",NA,NA,NA,""
"UniRef90_Q6ABT9","not","pos","sig","neg","Nude sig",FALSE,"DUF5753 domain-containing protein",NA,NA,NA,""
"UniRef90_U7J7D4","not","neg","sig","pos","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_U7J9Q1","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_U7M1H2","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_U7MA17","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_U7MD33","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_UPI0001EF3DFD","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_UPI0001F0BD97","not","pos","sig","neg","Nude sig",FALSE,NA,NA,NA,NA,""
"UniRef90_UPI00093BCEEE","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_UPI00093F5D8C","sig","pos","sig","pos","Agree",TRUE,NA,NA,NA,NA,""
"UniRef90_UPI000E225711","not","neg","sig","neg","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_UPI000E251655","not","pos","sig","pos","Nude sig",TRUE,NA,NA,NA,NA,""
"UniRef90_W4TEM2","not","pos","sig","neg","Nude sig",FALSE,NA,"Vitamin-B12 independent methionine synthase family protein",NA,NA,"Reference proteome"
"UniRef90_W4TEY1","not","pos","sig","pos","Nude sig",TRUE,"Chitinase",NA,NA,NA,"Reference proteome;Signal"
"UniRef90_W4TF26","not","pos","sig","pos","Nude sig",TRUE,"DNA topoisomerase (ATP-hydrolyzing)",NA,NA,NA,"DNA-binding;Isomerase;Reference proteome;Topoisomerase"
"UniRef90_W4TF62","NA","pos","sig","pos","Nude sig",TRUE,NA,"Holo-[acyl-carrier protein] synthase",NA,NA,"Reference proteome"
"UniRef90_W4TFE8","not","pos","sig","neg","Nude sig",FALSE,"YheO-like protein",NA,NA,NA,"Reference proteome"
"UniRef90_W4TFH7","not","pos","sig","pos","Nude sig",TRUE,NA,"N-acetylglucosamine kinase",NA,NA,"Kinase;Reference proteome;Transferase"
"UniRef90_W4TFX8","not","pos","sig","pos","Nude sig",TRUE,NA,"Lysophospholipase",NA,NA,"Reference proteome"
"UniRef90_W4THI1","not","pos","sig","pos","Nude sig",TRUE,NA,"Membrane protein",NA,NA,"Membrane;Reference proteome;Transmembrane;Transmembrane helix"
"UniRef90_W4THN9","not","pos","sig","pos","Nude sig",TRUE,"Secreted protein",NA,NA,NA,"Reference proteome"
"UniRef90_W4TID6","not","pos","sig","pos","Nude sig",TRUE,NA,"Hypothetical membrane protein",NA,NA,"Membrane;Reference proteome;Transmembrane;Transmembrane helix"
"UniRef90_W4TIK6","sig","pos","sig","neg","Disagree",FALSE,"Lipoprotein",NA,NA,NA,"Reference proteome;Signal"
"UniRef90_W4TJK2","not","neg","sig","neg","Nude sig",TRUE,"Methyltransferase",NA,NA,NA,"Reference proteome"
"UniRef90_W4TJK8","not","pos","sig","pos","Nude sig",TRUE,NA,"Uncharacterized protein",NA,NA,"Reference proteome"
"UniRef90_W4TK20","not","pos","sig","pos","Nude sig",TRUE,"Phytanoyl-CoA dioxygenase",NA,NA,NA,"Reference proteome"
"UniRef90_W4TKZ1","not","pos","sig","pos","Nude sig",TRUE,NA,"Arogenate dehydrogenase",NA,NA,"Oxidoreductase;Reference proteome"
"UniRef90_W4TL96","not","pos","sig","neg","Nude sig",FALSE,"B3_4 domain-containing protein",NA,NA,NA,"Reference proteome"
"UniRef90_W4TLN8","not","pos","sig","pos","Nude sig",TRUE,NA,"Possible toxin to DivIC",NA,NA,"Reference proteome"
"UniRef90_W4TMD9","not","pos","sig","pos","Nude sig",TRUE,NA,"L-ribulose-5-phosphate 4-epimerase",NA,NA,"Reference proteome"
"UniRef90_W4TMG8","NA","neg","sig","pos","Nude sig",FALSE,"DUF1421 domain-containing protein",NA,NA,NA,"Glycosyltransferase;Reference proteome;Transferase"
"UniRef90_W4TMQ4","sig","pos","sig","pos","Agree",TRUE,NA,"WhiB-like transcription regulator",NA,NA,"Reference proteome"
"UniRef90_W4TP27","not","pos","sig","pos","Nude sig",TRUE,NA,"Membrane protein hemolysin III",NA,NA,"Membrane;Reference proteome;Transmembrane;Transmembrane helix"
