"concentration","sample","SequencingCenter","tissue_or_organ_of_origin","TCGA.code","platform","tissue_source_site","ffpe.status","file_id.expression","artbatch"
0.17,"8315040e-4201-42fe-9c4e-10ff635672cf","UNC",NA,"COAD","Illumina","University of Sao Paulo",FALSE,"e21fa045-53aa-41b5-b03d-a62acddcb26f","University of Sao PauloFALSE"
0.15,"d20ec4a1-12a8-4d7e-97dd-73a2fe60be8d","UNC","Cecum","COAD","Illumina","Indivumed",FALSE,"468f90dc-497d-4bdd-add9-cdc9b27f8aeb","IndivumedFALSE"
0.15,"fc806f55-a25a-4553-abfb-646641a03f9b","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","Indivumed",FALSE,"bc47f01c-1994-4ff8-a356-94d9679b66ee","IndivumedFALSE"
0.15,"93296653-714a-4064-952d-7da92a46857f","UNC","Transverse colon","COAD","Illumina","Harvard",FALSE,"259b8974-94ae-4479-bc16-8ce0db2d2c0f","HarvardFALSE"
0.15,"319b7911-ee78-4f54-acc4-ff2dcc1b7c5c","UNC","Connective, subcutaneous and other soft tissues, NOS","COAD","Illumina","MSKCC",FALSE,"4a80dca7-6af3-41e2-80ff-6bc6ad8e7de2","MSKCCFALSE"
0.15,"e0a49df2-c147-42d7-beea-f670765005e5","UNC","Sigmoid colon","COAD","Illumina","MSKCC",FALSE,"e1e91783-3d42-4431-b479-417ddf33ce7c","MSKCCFALSE"
0.15,"16192934-7f79-455b-b09c-aa5b84742f6f","UNC","Ascending colon","COAD","Illumina","Indivumed",FALSE,"0f5bd98e-e4f1-4fc8-ab36-e849713061a9","IndivumedFALSE"
0.14,"739f4d3b-d73e-4cd7-862e-1f843c0f73c3","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"53ce4ec6-e012-4439-b9ee-346e6ae2fa31","IndivumedFALSE"
0.15,"748c3ce9-e5eb-4901-b11f-2ad6b4bfd9b1","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"c383ba2c-b00a-4bd2-82cb-b3f04c2a8172","IndivumedFALSE"
0.17,"02cbd25b-315c-47c4-bd4d-bfc157d957a2","UNC","Sigmoid colon","COAD","Illumina","University Of Michigan",FALSE,"aa8d16ee-bda8-4844-ad7f-b87d99626c85","University Of MichiganFALSE"
0.14,"f08dc7f4-3cc3-4743-a84e-d586d74af8d1","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"23020371-be9f-45bd-94df-af8087acc4c7","Christiana HealthcareFALSE"
0.15,"502324ea-9c49-414a-8248-58b13da65e8c","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"10673cc4-447a-47d5-abf9-2e6ee6c684ac","IndivumedFALSE"
0.17,"168c6af9-ea75-43d3-be75-ca9e00f674df","UNC","Ascending colon","COAD","Illumina","University Of Michigan",FALSE,"ba99400a-5d82-4a26-a6b5-92255e742d19","University Of MichiganFALSE"
0.15,"3bc0d4be-c7d3-443e-832c-42727ecc85ea","UNC","Kidney, NOS","COAD","Illumina","Indivumed",FALSE,"e2b0b410-377f-41e2-895f-59afcb0aabb1","IndivumedFALSE"
0.14,"07652056-7949-4fed-b59e-dc421ffef000","UNC","Sigmoid colon","COAD","Illumina","Harvard",FALSE,"eaa0315c-6737-4fa6-abb0-f54a13815be2","HarvardFALSE"
0.14,"089f5b8c-dc0a-448b-9a60-484f9c9a4659","UNC","Colon, NOS","COAD","Illumina","Indivumed",FALSE,"1df1bb2b-c139-43ea-a025-c1914ea022eb","IndivumedFALSE"
0.16,"7dbb2046-e721-4672-a84b-43d9ecf2a78a","UNC","Uterus, NOS","COAD","Illumina","Candler",FALSE,"e0aa6308-2b31-4b4d-8768-6df0fa83d189","CandlerFALSE"
0.16,"9f52e91b-cf6f-4701-a651-096979267ae6","UNC","Rectosigmoid junction","COAD","Illumina","UNC",FALSE,"08feebec-bed2-449b-9745-5132147d3d9f","UNCFALSE"
0.14,"41785c09-4489-40c9-bbee-1c968809a3cf","UNC","Colon, NOS","COAD","Illumina","Asterand",FALSE,"28720118-c69f-4af9-9d76-d433dbf48615","AsterandFALSE"
0.15,"7d10f16e-737a-4351-ab41-9e9794b92785","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"85680290-b71a-4e2c-bb42-a9f19f718816","Christiana HealthcareFALSE"
0.14,"3d70ba05-81f9-4b1a-85b0-ead0fcbd56f3","UNC","Rectum, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"87d8c005-dcb5-4611-821f-aa05a6e4e3fd","Christiana HealthcareFALSE"
0.16,"bf17967a-2c96-48b7-ac95-8bdfd7b6d5cf","UNC","Colon, NOS","COAD","Illumina","Greater Poland Cancer Center",FALSE,"86a27454-0b76-446f-87df-2278174b4078","Greater Poland Cancer CenterFALSE"
0.17,"a7bd9600-93ca-4090-bee6-902e05adb2a8","UNC","Unknown primary site","COAD","Illumina","University Of Michigan",FALSE,"20acda2c-3fd5-4f30-83ff-e39950e62f24","University Of MichiganFALSE"
0.15,"61f1e33f-6c84-43cb-b7d6-53701e9ace1d","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"744f8589-a640-45bc-9036-b818d49643f7","Christiana HealthcareFALSE"
0.14,"48af840d-b28f-4775-8f61-cf2b13aac463","UNC","Cecum","COAD","Illumina","Asterand",FALSE,"bb798827-7e9b-4dde-b269-49f0f37ec3ff","AsterandFALSE"
0.15,"8b8d854f-ab06-43ff-83c6-cb404c6fd5cd","UNC","Colon, NOS","COAD","Illumina","Indivumed",FALSE,"1bb3bac2-26a4-46de-8e0e-9fb42c53550a","IndivumedFALSE"
0.13,"e828e5b4-a67d-46df-8b0a-912755ca7e57","UNC","Rectum, NOS","COAD","Illumina","University of Pittsburgh",FALSE,"7b4d59ed-2a71-4ef0-9c1a-acfc4574a5dd","University of PittsburghFALSE"
0.15,"2e48e315-5cdf-4fee-aa5d-3c7baa4030ad","UNC","Ascending colon","COAD","Illumina","Christiana Healthcare",FALSE,"4571794b-22d1-49fc-9b84-c4ec3e6411b8","Christiana HealthcareFALSE"
0.18,"84861e7e-0bcd-447c-aaa0-ba238a25ba54","UNC","Colon, NOS","COAD","Illumina","University Of Michigan",FALSE,"94280858-270b-46b2-9c8d-e49bdf951195","University Of MichiganFALSE"
0.15,"45ada0d2-6a5d-4b57-a79c-4e0e3d7a9a7c","UNC","Hepatic flexure of colon","COAD","Illumina","Christiana Healthcare",FALSE,"ddae1f5f-79bb-4395-9e46-61e8bbda73b0","Christiana HealthcareFALSE"
0.15,"398ba03f-57d6-45e8-a18f-38d27fd33c33","UNC","Sigmoid colon","COAD","Illumina","Candler",FALSE,"5f6a2f9d-8626-471c-84d7-9dfa25573a0e","CandlerFALSE"
0.17,"2ab84a5c-4c77-479c-8a3a-15f292e7f85b","UNC","Sigmoid colon","COAD","Illumina","MSKCC",FALSE,"235011d3-170f-48ee-98a9-67d473cf475f","MSKCCFALSE"
0.15,"5549d854-57ff-4d76-8d32-977106690e73","UNC","Connective, subcutaneous and other soft tissues of thorax","COAD","Illumina","Greater Poland Cancer Center",FALSE,"8510295d-e4f3-4d85-9424-3385eb2fd291","Greater Poland Cancer CenterFALSE"
0.17,"f209041e-319e-4258-8fdd-92d1a1aff811","UNC","Spermatic cord","COAD","Illumina","Christiana Healthcare",TRUE,"a6690007-f347-49c3-a0ba-28e01d131971","Christiana HealthcareTRUE"
0.15,"dfbba5cc-e927-4626-aa07-ade606767354","UNC","Connective, subcutaneous and other soft tissues of head, face, and neck","COAD","Illumina","Christiana Healthcare",FALSE,"8b12a000-f588-4a78-a9eb-f06041a65789","Christiana HealthcareFALSE"
0.18,"f077f256-ff6a-436b-89bf-6035f9d09ac8","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"2f9c8e66-4c63-4f08-9832-9fb538dc5f95","Christiana HealthcareFALSE"
0.16,"019ae823-acfc-49a6-a144-3b363b15a0dc","UNC","Transverse colon","COAD","Illumina","BLN - Baylor",FALSE,"0826add5-571b-41be-b186-936959fc9d79","BLN - BaylorFALSE"
0.14,"8f46e5b1-5d62-46f9-9166-5e4a4646a5bd","UNC","Cecum","COAD","Illumina","Roswell Park",FALSE,"ccabd9f4-5e0e-416d-8164-608d711555bb","Roswell ParkFALSE"
0.14,"100cd7f5-9a5a-40c0-b116-00c683d3a1ed","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"432da669-2f8d-48c3-9897-ef9287939d81","IndivumedFALSE"
0.17,"3788aba2-7439-487f-946a-43066f103204","UNC","Sigmoid colon","COAD","Illumina","MSKCC",FALSE,"6a750710-5ed9-4d24-b2bf-3a4e3211878f","MSKCCFALSE"
0.15,"3f288607-c67f-4d57-83ba-f6fb54f82c1f","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","University of Pittsburgh",FALSE,"7735a10b-e6c5-41a1-9b10-b4f9c62e0144","University of PittsburghFALSE"
0.15,"b5924714-357a-483a-b72d-0dfb0af536cc","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","Christiana Healthcare",FALSE,"ce93acd2-a9fd-4365-9409-b70421a8b4bb","Christiana HealthcareFALSE"
0.15,"34b57af8-5b47-4b26-a114-49258c6bbb6f","UNC","Rectum, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"029ffdfa-c2ff-439e-be14-a7b68342fbdb","Christiana HealthcareFALSE"
0.17,"e82d0cdb-5eb9-46b6-997f-0284ad904d8c","UNC","Cecum","COAD","Illumina","BLN - Baylor",FALSE,"16b6c99b-ce4f-40d7-a438-5cab5062073c","BLN - BaylorFALSE"
0.14,"9b2dd3c7-9101-4fb1-bc2c-17d5e24f6bfb","UNC","Cecum","COAD","Illumina","Christiana Healthcare",FALSE,"8d699716-cbe8-4f5e-a409-81f0293ac81b","Christiana HealthcareFALSE"
0.17,"63de4009-4522-42ec-8c4a-74d1d38a9714","UNC","Rectum, NOS","COAD","Illumina","Roswell Park",FALSE,"aaa872bb-ec87-4316-bec6-33d02dc2b303","Roswell ParkFALSE"
0.15,"6702c4d7-a218-4dc3-810a-004f5a166c2a","UNC","Rectum, NOS","COAD","Illumina","Roswell Park",FALSE,"ea9874a3-4bcb-4e70-bc2f-b23588b454b9","Roswell ParkFALSE"
0.15,"4e452bb5-9f7c-437e-8a2b-65d8b59bdaf7","UNC","Rectosigmoid junction","COAD","Illumina","Indivumed",FALSE,"5f267141-775d-47af-a83c-a1f2cdedae79","IndivumedFALSE"
0.15,"8495ff8f-e627-45be-b34f-52c43fc02895","UNC","Cecum","COAD","Illumina","MSKCC",FALSE,"20d10762-9bd6-4974-92f8-58ed0159d3a9","MSKCCFALSE"
0.15,"5ac7d2fa-4458-40bd-9023-69d9aa0d0b75","UNC","Colon, NOS","COAD","Illumina","Indivumed",FALSE,"0d57b1a4-f6a1-4313-bd44-dd8158230e44","IndivumedFALSE"
0.15,"af831284-873e-4530-8bd6-bde434a78a1a","UNC","Rectosigmoid junction","COAD","Illumina","MSKCC",FALSE,"f61b3602-8fa9-461d-ad88-6af9c5768cc7","MSKCCFALSE"
0.15,"399e1bbd-a61d-43cb-8bab-202aa478d23c","UNC","Ascending colon","COAD","Illumina","Indivumed",FALSE,"6b182c8c-7a25-4033-9b68-82fb93a2d637","IndivumedFALSE"
0.15,"96ae8940-3c05-44b6-8490-c68a94210912","UNC","Ascending colon","COAD","Illumina","Indivumed",FALSE,"1b5ad3fa-0f03-4a80-916e-031f34bb8002","IndivumedFALSE"
0.16,"9063d2f7-1676-4753-b075-0c7ee6668080","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"2f20530c-78cf-4a22-86fc-13ddcf08b275","IndivumedFALSE"
0.14,"7282d4eb-3ab9-486e-af2d-3b326e460557","UNC","Ascending colon","COAD","Illumina","International Genomics Consortium",FALSE,"efdd1a6a-1fdf-4950-a097-f5b3660ee930","International Genomics ConsortiumFALSE"
0.18,"19dd3778-6ca2-40ce-b51a-bde1ad9efcd4","UNC","Cecum","COAD","Illumina","University Of Michigan",FALSE,"108d8423-6c23-42ef-af28-7472d8530ac9","University Of MichiganFALSE"
0.15,"7308bb8a-7006-4982-b11d-5471a0e9bab6","UNC","Retroperitoneum","READ","Illumina","Indivumed",FALSE,"828ff93c-d455-4c7f-9b3a-7bb8bd2d24c8","IndivumedFALSE"
0.15,"d1518e2a-68f4-4b07-980b-3006bc2275b5","UNC","Retroperitoneum","READ","Illumina","Indivumed",FALSE,"b4a6ebbc-78a8-430e-920f-b85bf41c9430","IndivumedFALSE"
0.15,"bd948e10-9cd0-4034-b96b-eb0839feaaf8","UNC","Ascending colon","READ","Illumina","University Of Michigan",FALSE,"4de46d37-62e5-4f28-a4cf-21a798c397e7","University Of MichiganFALSE"
0.15,"e2ae3e26-acaf-45f6-86ac-4c9aaea272b8","UNC","Retroperitoneum","READ","Illumina","Indivumed",FALSE,"2e754e78-f929-4cf8-bec4-3300bd16d375","IndivumedFALSE"
0.15,"d2685154-224a-4a7b-8aac-8d9e1ec73b1a","UNC","Cecum","READ","Illumina","Greater Poland Cancer Center",FALSE,"f1a52b36-9a48-48d4-9177-4153da9ef23a","Greater Poland Cancer CenterFALSE"
0.16,"c15e4f0e-90d3-4e2d-833d-4ec71a6ca959","UNC","Retroperitoneum","READ","Illumina","Harvard",FALSE,"37a11793-4c4a-4437-b011-d6d0984a366f","HarvardFALSE"
0.17,"4bcd5ea9-7947-407e-852b-e2edd05956dd","UNC","Sigmoid colon","READ","Illumina","Harvard",FALSE,"15f74c8a-d755-4738-a604-7b970a84ed17","HarvardFALSE"
0.16,"6adf4dcf-f013-43a4-b726-dbb03f7f49f0","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","READ","Illumina","Asterand",FALSE,"e3658ac5-9a6f-43cc-b405-401f945f2f12","AsterandFALSE"
0.18,"4dd3cd92-b0dd-4a28-98c6-29a55f972cf9","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"72531a3a-3565-4ea9-8d70-6ca2af13d953","Memorial Sloan KetteringFALSE"
0.17,"bdb92120-f04d-4c90-96fa-ecd69616f746","UNC","Upper lobe, lung","SARC","Illumina","ILSBio",FALSE,"a166088c-5558-4d7c-9aa6-b8c1aabbeaff","ILSBioFALSE"
0.16,"06222783-9642-4102-a02c-67e1e7ef0142","UNC","Upper lobe, lung","SARC","Illumina","ABS - IUPUI",FALSE,"a2e6a879-cfa7-4eb1-b62c-a9a368f43215","ABS - IUPUIFALSE"
0.15,"c9cb060b-65c4-4a53-a0c6-779cbe3fd81b","UNC","Lung, NOS","SARC","Illumina","Memorial Sloan Kettering",FALSE,"75633651-dc8e-4b44-9087-4241128202bf","Memorial Sloan KetteringFALSE"
0.18,"46363660-3105-48dd-9f24-7f92edefd2f7","UNC","Upper lobe, lung","SARC","Illumina","University of Iowa",FALSE,"0135d5dd-4363-4594-b8bb-16cd7f38e8a6","University of IowaFALSE"
0.16,"155d2743-58c6-4ca9-ae41-1a6431432f33","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"422bfae2-9b30-4c97-8419-2b2dfe5773ff","Memorial Sloan KetteringFALSE"
0.16,"88fc8e77-ead6-492e-b507-83ce9c4c8b29","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"46b7097b-aff1-4cf4-a804-652924428210","Memorial Sloan KetteringFALSE"
0.16,"89f43859-9190-40ac-b3d3-f29be6ebb574","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"8a4ca930-d6a7-4b66-8836-a262f7f6c110","Memorial Sloan KetteringFALSE"
0.16,"6757fd42-c111-4d09-8142-52b02b7666ed","UNC","Upper lobe, lung","SARC","Illumina","Brigham and Women's Hospital",FALSE,"5dcbd52d-0111-490f-960d-e9ba676305a8","Brigham and Women's HospitalFALSE"
0.18,"7ffc302a-d696-410c-87b1-4e418d4d53d4","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"df37a40e-e270-414e-ae9b-1d16866eebe6","Memorial Sloan KetteringFALSE"
0.16,"637cc00d-99b1-4e01-a256-4ffb4532d2d9","UNC","Upper lobe, lung","SARC","Illumina","University of Iowa",FALSE,"1cf6d444-ca0f-4721-84a2-520e6f3325a8","University of IowaFALSE"
