"Taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TaxLev","mouse.line"
"s__Neisseria canis",33.9558759707362,-8.75290534279022,3.06913498007254,-2.85191280266968,0.00434570196939374,0.148973713126235,"species","Nude"
"f__unclassified-g__Pandoravirus",12.2319494246994,7.60062894938667,2.67380314256388,2.8426284749215,0.00447431938104468,0.150738277078643,"family","Nude"
"s__Streptococcus rubneri",74.0372972775853,-9.15770467556047,3.05755278283886,-2.99510926743765,0.00274346543995144,0.169383588459224,"species","Balbc"
"o__Ustilaginales",1266.7092607928,1.66764600527576,0.596729165656347,2.79464470861166,0.00519567816289301,0.172073815767677,"order","Nude"
"s__Neospora caninum",17.6964247740097,7.90862872294525,2.84431010741889,2.78050860288299,0.00542738216569157,0.174098228288758,"species","Nude"
"s__Trypanosoma brucei",16.392604553671,7.79960915343461,2.80556121126435,2.78005310385641,0.005435000985473,0.174098228288758,"species","Nude"
"f__Lactobacillaceae",3124.18367134804,-1.63693339269563,0.591509682326861,-2.76738224513302,0.00565084556334036,0.178092777915598,"family","Nude"
"g__Pandoravirus",11.7231458478331,7.3873124051619,2.67493808505506,2.76167603520806,0.0057505507100165,0.17835835059321,"genus","Nude"
"k__Orthornavirae",1051.2388876376,-1.81534717347827,0.611701754215296,-2.96769979972844,0.00300037210371742,0.178629296317748,"kingdom","Balbc"
"g__Marinicauda",15.8652563890264,-7.65312643689263,2.7825440667262,-2.75040619424831,0.00595214308925479,0.180306359419579,"genus","Nude"
"s__Humibacter sp. BT305",32.0369049982138,8.76398502023693,3.18934413120671,2.74789569883167,0.00599790857844045,0.180306359419579,"species","Nude"
"s__Leuconostoc pseudomesenteroides",26.7610340629455,-8.4094604681663,3.06767718364611,-2.74131206275465,0.00611943572684186,0.181172385003773,"species","Nude"
"c__Erysipelotrichia",20.073630593182,-8.05847656531209,2.95037120174606,-2.73134328336143,0.00630767320927237,0.182650555948325,"class","Nude"
"s__Pyxidicoccus sp. SCPEA002",28.2333275545009,8.58386478308997,3.14564295214627,2.72881090246851,0.00635631412716791,0.182650555948325,"species","Nude"
"s__Fimbriimonas ginsengisoli",15.0730072125151,7.91570490224294,2.69047832006214,2.94211807737596,0.00325975606455395,0.187379771021084,"species","Balbc"
"c__Revtraviricetes",141820.164112918,1.38356980122422,0.512705622523715,2.69856568846234,0.00696389928852277,0.191654355067232,"class","Nude"
"g__Romboutsia",10.5190817037747,7.23600373008571,2.68007154097178,2.69992931885018,0.00693542087396388,0.191654355067232,"genus","Nude"
"s__Methylococcus capsulatus",14.6883631173293,7.64275749502282,2.82225085668855,2.70803620341189,0.0067682638773965,0.191654355067232,"species","Nude"
"c__Clostridia",1154.43958244816,-1.40243461299811,0.524624384966004,-2.67321659684003,0.00751277255466607,0.201095309202979,"class","Nude"
"s__Halomonas denitrificans",21.6801392866597,-8.10624295486164,3.03206047082451,-2.67350965881538,0.00750621145927496,0.201095309202979,"species","Nude"
"s__Actinomadura sp. NAK00032",11.1452953148672,-7.14461458312316,2.69207260296547,-2.65394572763489,0.00795566214764926,0.204544261006666,"species","Nude"
"s__Desulfovibrio desulfuricans",26.006569008454,8.46522646505929,3.18858383266487,2.65485460295533,0.0079342598847322,0.204544261006666,"species","Nude"
"s__Streptococcus canis",21.4651689877114,-8.09149338598192,3.04848810489426,-2.6542643787887,0.00794815264830103,0.204544261006666,"species","Nude"
"g__Porphyromonas",283.333141387402,-4.49158214763793,1.70240740871357,-2.63837088857127,0.00833054156717494,0.210921298065695,"genus","Nude"
"s__Methylobacterium durans",21.4126560075967,-8.08788960206182,3.06968279417457,-2.63476396239066,0.00841958098726931,0.210921298065695,"species","Nude"
"s__Gordonia alkanivorans",19.7540330689112,-7.97185509104427,3.03490646000218,-2.62672184336072,0.00862117752873665,0.213237732799385,"species","Nude"
"p__Pisuviricota",1030.49600756639,-1.80133930274791,0.628553862646694,-2.86584716091456,0.00415894984690347,0.214583984843882,"phylum","Balbc"
"f__Mycoplasmataceae",31.2175729428124,-7.85582928383386,2.75676296803191,-2.84965714315374,0.00437663796322254,0.214583984843882,"family","Balbc"
"s__Acinetobacter sp. Colony158",54.1286717939129,-8.70516944214182,3.05241792427557,-2.85189304285972,0.00434597210899323,0.214583984843882,"species","Balbc"
"s__Collinsella aerofaciens",59.4664680614252,-8.84261369479755,3.06641259983517,-2.88369989585644,0.00393033111545393,0.214583984843882,"species","Balbc"
"s__Roseomonas sp. FDAARGOS_362",25.7184538944112,8.6865584602284,3.02386973040009,2.87266292357081,0.00407028144019595,0.214583984843882,"species","Balbc"
"o__unclassified-g__Pandoravirus",11.6578748239855,7.25427068904149,2.80964361361106,2.58191845182743,0.00982527983557742,0.22662667913096,"order","Nude"
"g__Mobiluncus",12.7692799757594,7.51588987977131,2.91203475297409,2.58097533763814,0.00985216197727979,0.22662667913096,"genus","Nude"
"g__Rheinheimera",13.174422963539,-7.38449625649991,2.83904616744704,-2.6010483172735,0.00929393630574481,0.22662667913096,"genus","Nude"
"s__Leishmania major",20.9874085949485,8.1535502999655,3.15396069394746,2.58517815888207,0.00973286912876808,0.22662667913096,"species","Nude"
"s__Neisseria animaloris",19.6298633224804,-7.96252200363832,3.07152769684122,-2.59236536002167,0.00953184832346026,0.22662667913096,"species","Nude"
"s__Sphingomonas sp. LK11",18.0237533639096,-7.8397964498634,3.03778872405647,-2.58075763721798,0.00985837652309702,0.22662667913096,"species","Nude"
"o__Mycoplasmatales",32.5247098597316,-7.96739442188469,2.82448469187199,-2.82083115720628,0.00478994062910391,0.228138029391892,"order","Balbc"
"s__Serratia liquefaciens",23.1142249730017,8.53245091105449,3.03590696533111,2.81051132610182,0.00494628479865684,0.229040465537804,"species","Balbc"
"s__Nocardioides cynanchi",17.9187274036802,-7.83118698728352,3.04416254848936,-2.57252589588873,0.0100959402773667,0.229389154674123,"species","Nude"
"s__Pandoravirus salinus",11.5681928102239,7.29303581626179,2.8532111980763,2.55607990785222,0.0105858806194419,0.237756445176891,"species","Nude"
"s__Marinicauda algicola",18.2048092890162,-7.85307810518912,3.09256906115687,-2.53933799048337,0.0111062470318609,0.246609167048367,"species","Nude"
"f__Retroviridae",151760.657227355,1.73184521539374,0.683941219921707,2.53215505214322,0.0113363849856784,0.248890969236131,"family","Nude"
"g__Fannyhessea",11.5657460920087,7.37049248208613,2.93958615426309,2.50732317248031,0.0121649431598672,0.25559461219764,"genus","Nude"
"g__Theileria",11.8649375585349,7.40839230517814,2.95262009244355,2.50909093389222,0.0121042320135056,0.25559461219764,"genus","Nude"
"s__Propionibacterium virus PHL116M00",16.135934718564,-7.68010637864064,3.04946524881196,-2.51850923096525,0.0117852794292019,0.25559461219764,"species","Nude"
"s__Romboutsia sp. CE17",10.2574454102893,7.12433271346206,2.83697010753309,2.51124701474457,0.0120305482133781,0.25559461219764,"species","Nude"
"c__Pisoniviricetes",985.304292644176,-1.78489447394421,0.649202945128554,-2.74936287233073,0.00597112414707302,0.257290646313274,"class","Balbc"
"o__Fimbriimonadales",15.2868866363061,7.89389627935028,2.87393255247465,2.746722873699,0.00601939724428175,0.257290646313274,"order","Balbc"
"f__Fimbriimonadaceae",15.6443411030789,7.95306954569666,2.878885205961,2.76255181319112,0.00573514582282915,0.257290646313274,"family","Balbc"
"s__Nocardioides ungokensis",16.0642779522479,-7.67345314389745,3.07847962454167,-2.49261131459978,0.0126807575478688,0.263597874984421,"species","Nude"
"k__unclassified-g__Pandoravirus",11.746050578728,7.15155144749533,2.90391111619262,2.46273083484452,0.0137883384218886,0.27250360273655,"kingdom","Nude"
"o__Erysipelotrichales",17.2321347995652,-7.81196148783486,3.17256630147938,-2.46234774800202,0.0138030762938359,0.27250360273655,"order","Nude"
"o__Ortervirales",145571.014418807,1.48106728993021,0.598911781623291,2.47293063081164,0.0134010152379592,0.27250360273655,"order","Nude"
"s__Mycolicibacterium boenickei",14.4056550135624,-7.51674589772636,3.0546646586479,-2.46074339991662,0.0138649489697585,0.27250360273655,"species","Nude"
"s__Nocardioides humi",9.45184968328016,7.00550374367014,2.83025357476942,2.47522123322144,0.0133153665392766,0.27250360273655,"species","Nude"
"s__Roseburia intestinalis",15.2274036227874,-7.59449437916464,3.08888428065903,-2.45865292743965,0.0139459366804785,0.27250360273655,"species","Nude"
"g__Pyruvatibacter",10.8762461452236,7.27944328899469,2.98490998221334,2.43874801329751,0.0147382413871433,0.281709519740129,"genus","Nude"
"s__Leishmania infantum",14.7302049311267,7.64449960818107,3.13810148889675,2.43602688926056,0.0148495806208973,0.281709519740129,"species","Nude"
"s__Pseudomonas furukawaii",14.5298247599932,-7.52948988575917,3.08414611280125,-2.44135316887446,0.0146323372541105,0.281709519740129,"species","Nude"
"s__Rheinheimera sp. LHK132",14.6392239187837,-7.53834524870113,3.10529340792987,-2.42757905885825,0.0151999736050107,0.285584119463375,"species","Nude"
"g__Betaretrovirus",10.2999121339579,7.20403918930964,2.97764607778448,2.41937389505666,0.0155472504088125,0.289326926655424,"genus","Nude"
"s__Aerococcus christensenii",18.9754802729922,8.24779938047432,3.05791329205268,2.69719857718328,0.00699255579077902,0.291414762580716,"species","Balbc"
"p__unclassified-g__Pandoravirus",11.8419683223664,7.1167203068285,2.94968931208701,2.41270166239751,0.0158347749336605,0.291897643588421,"phylum","Nude"
"p__Actinobacteria",710742.905991286,-1.24723877810602,0.522840415814325,-2.38550567320516,0.0170556593139474,0.303783069630097,"phylum","Nude"
"o__Eubacteriales",1022.6776999218,-1.1977104292124,0.500803194432005,-2.39157905246752,0.0167760707763757,0.303783069630097,"order","Nude"
"g__Pyricularia",182.060392086507,2.97383877661997,1.25054674532044,2.3780308794918,0.017405368273919,0.303783069630097,"genus","Nude"
"s__Exiguobacterium acetylicum",12.6228623284461,-7.32638331702316,3.06819659397787,-2.38784676686073,0.0169474062681152,0.303783069630097,"species","Nude"
"s__Nocardioides sp. zg-579",12.55120556213,-7.31781604534399,3.07488734396784,-2.37986476470422,0.017318992694318,0.303783069630097,"species","Nude"
"s__Pseudomonas palleroniana",13.3920979575565,-7.40865431505361,3.11565092970544,-2.37788330021748,0.0174123356185112,0.303783069630097,"species","Nude"
"s__Arachnia rubra",7.90467502501563,6.74881882746592,2.84487938105484,2.37226888155924,0.0176792198173693,0.305709694895041,"species","Nude"
"s__Cellulomonas sp. zg-ZUI188",13.3729541713551,-7.40645898238718,3.13806915048679,-2.36019623125203,0.0182652704496184,0.307675331539262,"species","Nude"
"s__Exiguobacterium mexicanum",12.4986925820153,-7.31157854991861,3.09353533947368,-2.36350251332916,0.0181031038658901,0.307675331539262,"species","Nude"
"s__Mobiluncus curtisii",12.3387338074283,7.39105826795376,3.13094249465944,2.36064963842707,0.018242956745286,0.307675331539262,"species","Nude"
"o__Nidovirales",943.951957844858,-1.72119417673079,0.644598865814766,-2.67017872356201,0.00758108826664879,0.308235954646428,"order","Balbc"
"k__unclassified-p__Actinobacteria",712840.645609704,-1.24548503650286,0.545616015932889,-2.28271348371866,0.0224472510123693,0.320678782422603,"kingdom","Nude"
"k__unclassified-p__Firmicutes",7082190.60012721,1.60590317662349,0.692813117020603,2.31794568718555,0.0204522730195606,0.320678782422603,"kingdom","Nude"
"c__unclassified-g__Pandoravirus",11.2313214966677,7.08431077733227,3.10264152232475,2.28331591850293,0.0224117660125837,0.320678782422603,"class","Nude"
"o__Maricaulales",14.8761052731,-7.59885516826037,3.33337595298324,-2.27962740340155,0.0226297962606545,0.320678782422603,"order","Nude"
"f__Rhodospirillaceae",52.4063898250509,-5.31374237862051,2.3270233217832,-2.28349339212835,0.0224013216512068,0.320678782422603,"family","Nude"
"f__Theileriidae",12.4551711307677,7.63044399409011,3.30653220345708,2.30768779028138,0.0210165076629621,0.320678782422603,"family","Nude"
"g__Acutalibacter",9.03898227358854,-6.84434547656244,2.9358057281014,-2.33133460128123,0.0197357230554887,0.320678782422603,"genus","Nude"
"g__Fimbriimonas",12.4949309523491,7.47953179472894,3.24954495313804,2.3017166719008,0.0213511553801304,0.320678782422603,"genus","Nude"
"g__Heyndrickxia",9.13817282530777,-6.8550345114943,2.99268782455788,-2.29059458031077,0.0219868726883984,0.320678782422603,"genus","Nude"
"g__Iflavirus",11.9404536067031,7.41797287537945,3.25168907276605,2.28126758413262,0.0225326176678189,0.320678782422603,"genus","Nude"
"g__Morganella",9.13817282530777,-6.8550345114943,2.99268782455788,-2.29059458031077,0.0219868726883984,0.320678782422603,"genus","Nude"
"g__Paucibacter",9.13817282530777,-6.8550345114943,2.99268782455788,-2.29059458031077,0.0219868726883984,0.320678782422603,"genus","Nude"
"g__Rhodospirillum",9.13817282530777,-6.8550345114943,2.99268782455788,-2.29059458031077,0.0219868726883984,0.320678782422603,"genus","Nude"
"s__Acutalibacter muris",10.7684128770137,-7.09701674281939,3.08965395405399,-2.29702641407698,0.0216172629602625,0.320678782422603,"species","Nude"
"s__Bacillus atrophaeus",11.9585457712584,7.34351560646174,3.14798380964796,2.33276790813068,0.0196603298592253,0.320678782422603,"species","Nude"
"s__Fannyhessea vaginae",11.5864466820844,7.29763602816431,3.13996691691273,2.32411239394187,0.0201194709529513,0.320678782422603,"species","Nude"
"s__Kocuria varians",82.0055882728667,-6.94323300799083,3.02051027914531,-2.29869537472837,0.0215222433640429,0.320678782422603,"species","Nude"
"s__Luteimonas sp. MC1825",10.8400696433298,-7.10705062401908,3.08938405278245,-2.3004749498911,0.0214213268888919,0.320678782422603,"species","Nude"
"s__Neisseria flavescens",10.7468698968824,7.19039511599956,3.15657708872704,2.27790892282604,0.0227320045502237,0.320678782422603,"species","Nude"
"s__Pseudomonas oryzae",10.8925826234445,-7.11422419430944,3.10596482908648,-2.29050378410172,0.0219921294669943,0.320678782422603,"species","Nude"
"s__Pyruvatibacter mobilis",10.9805395816731,7.21787385021204,3.17050221775773,2.27657114061782,0.0228118478796018,0.320678782422603,"species","Nude"
"s__Roseburia hominis",12.0761020566886,7.35794572101272,3.14296414833692,2.34108484021561,0.0192277972191028,0.320678782422603,"species","Nude"
"s__Shinella sp. PSBB067",11.0736385485511,-7.13506612755961,3.13246564021242,-2.27777953442317,0.0227397162624461,0.320678782422603,"species","Nude"
"s__Comamonas koreensis",10.5849451121267,7.1653814398611,3.1517021345704,2.27349576004199,0.0229963213442277,0.320962942190149,"species","Nude"
"g__Brevilactibacter",8.25081009823673,6.88597452149115,3.03327646835572,2.27014404830164,0.0231988444977142,0.321493206727188,"genus","Nude"
"s__Mycolicibacterium farcinogenes",10.3175410959472,7.13078519984087,3.15109588735722,2.26295404987544,0.0236385219938419,0.325279380112444,"species","Nude"
"o__Sphingomonadales",3240.62572214443,-1.07558330728376,0.476252360217128,-2.25843144754891,0.0239187739779703,0.326834156314364,"order","Nude"
"d__Viruses",129070.115583453,0.433392341147965,0.197966039969244,2.18922569353459,0.0285804400541244,0.328520830862479,"domain","Nude"
"c__Actinomycetia",685051.539325915,-1.20459510065371,0.54176503123443,-2.22346410566404,0.0261845211728159,0.328520830862479,"class","Nude"
"c__Bacteroidia",1674.66486911501,-1.24027128027,0.56060797090185,-2.21236825847262,0.026941230233133,0.328520830862479,"class","Nude"
"o__Aeromonadales",680.32538757121,-3.60110995517345,1.65504479599898,-2.17583836031449,0.0295673491986802,0.328520830862479,"order","Nude"
"o__unclassified-g__Candidatus",12.2870849716548,-7.3227035938335,3.3337270777225,-2.19655161418797,0.0280524851068925,0.328520830862479,"order","Nude"
