"sample","buffa.score","source","avg_z_score"
"GTEX-11NUK-0826-SM-5HL4U",-25,"lung",-0.459754911752199
"GTEX-11NUK-1026-SM-5HL5J",-39,"thyroid",-0.669022858164442
"GTEX-11NUK-1226-SM-5P9GM",-37,"liver",-0.826836078028553
"GTEX-11NUK-1326-SM-5P9GN",-3,"esophagus_muc",-0.255300646950335
"GTEX-11NUK-1726-SM-5A5L2",-23,"esophagus_gas",-0.33848090169178
"GTEX-11NUK-2426-SM-5BC4U",3,"stomach",0.0785358335965767
"GTEX-11NV4-1126-SM-5HL6J",-21,"lung",-0.0501340782364036
"GTEX-11NV4-1326-SM-5HL6V",-37,"liver",-0.776316185185261
"GTEX-11NV4-1926-SM-5N9D4",-19,"salivary",-0.350676700573671
"GTEX-11O72-1326-SM-5BC5A",3,"lung",0.439246771747879
"GTEX-11O72-1926-SM-5PNW1",-11,"esophagus_mus",-0.285310473915632
"GTEX-11O72-2026-SM-5N9G8",-15,"esophagus_gas",-0.456859596790894
"GTEX-11O72-2226-SM-5PNW2",-15,"colon",-0.320308145689783
"GTEX-11O72-2326-SM-5BC7H",-7,"thyroid",-0.285133202939954
"GTEX-11O72-2726-SM-5HL6K",-15,"prostate",-0.316907594147932
"GTEX-11OF3-0626-SM-5BC4Y",-35,"thyroid",-0.596602952963341
"GTEX-11OF3-0726-SM-5BC4Z",-35,"liver",-0.736460283040873
"GTEX-11OF3-1126-SM-5986C",-7,"lung",0.00012606371451994
"GTEX-11OF3-1326-SM-5N9FJ",-11,"kidney",-0.254437791621236
"GTEX-11OF3-1726-SM-5GU5Q",-33,"prostate",-0.589787089917335
"GTEX-11OF3-2326-SM-5GU73",-37,"esophagus_gas",-0.66763857292198
"GTEX-11ONC-1426-SM-5N9F4",-17,"esophagus_mus",-0.374011857304929
"GTEX-11ONC-1526-SM-5GU6S",7,"esophagus_muc",0.124396979945806
"GTEX-11ONC-1926-SM-5GU75",-21,"colon",-0.376968626886505
"GTEX-11ONC-2026-SM-5HL61",-23,"colon",-0.33612255917163
"GTEX-11P7K-0226-SM-5986Z",-35,"thyroid",-0.537211152597855
"GTEX-11P7K-0326-SM-59871",-19,"lung",-0.417121163777727
"GTEX-11P7K-0626-SM-5985Z",-21,"prostate",-0.448504298678068
"GTEX-11P7K-1226-SM-5HL4X",-11,"esophagus_mus",-0.202068820125748
"GTEX-11P7K-1326-SM-5BC5G",-11,"esophagus_muc",-0.120708099403591
"GTEX-11P7K-1426-SM-5EGKY",-19,"esophagus_gas",-0.426834561731198
"GTEX-11P7K-1526-SM-5EGI7",-17,"colon",-0.21763458150059
"GTEX-11P7K-1726-SM-5GU6F",-13,"stomach",-0.209242628971227
"GTEX-11P7K-1826-SM-5HL5A",-9,"colon",-0.0928107437707128
"GTEX-11P81-0126-SM-5HL5Y",-41,"thyroid",-0.685167784596286
"GTEX-11P81-0226-SM-5HL5M",-3,"lung",-0.21590283860448
"GTEX-11P81-0826-SM-5P9GR",21,"esophagus_muc",0.0672772835961358
"GTEX-11P81-0926-SM-59874",-15,"esophagus_mus",-0.26307013659681
"GTEX-11P81-1026-SM-5GU54",-21,"esophagus_gas",-0.397581809859404
"GTEX-11P81-1126-SM-5GU5G",-21,"colon",-0.388382525836109
"GTEX-11P81-1426-SM-5P9JN",-13,"colon",-0.292218163369163
"GTEX-11P81-1626-SM-5BC52",-21,"uterus",-0.325854272643812
"GTEX-11P81-1926-SM-5BC53",-17,"breast",-0.451787046851282
"GTEX-11P81-2026-SM-5P9GT",15,"salivary",-0.0384510973622175
"GTEX-11P82-0226-SM-5HL4O",-33,"thyroid",-0.522933419185406
"GTEX-11P82-0426-SM-5HL5D",-25,"esophagus_gas",-0.40178382089386
"GTEX-11P82-0526-SM-5986P",1,"esophagus_muc",-0.200031824304764
"GTEX-11P82-0626-SM-5PNYK",-23,"esophagus_mus",-0.289766658548414
"GTEX-11P82-0726-SM-5PNYL",-9,"stomach",-0.0614828746317495
"GTEX-11P82-0926-SM-5986X",9,"salivary",-0.20626817254453
"GTEX-11P82-1026-SM-5BC5J",-11,"colon",-0.0045131456403295
"GTEX-11P82-1126-SM-5BC5K",-23,"prostate",-0.402843169588145
"GTEX-11PRG-0926-SM-5EGI8",-23,"lung",-0.426331888442722
"GTEX-11PRG-2026-SM-5GU5F",-17,"colon",-0.312984695085205
"GTEX-11TT1-0426-SM-5EGI9",17,"esophagus_mus",0.252604006098279
"GTEX-11TT1-0526-SM-5P9JO",35,"esophagus_muc",0.34833043675739
"GTEX-11TT1-0626-SM-5GU4X",9,"esophagus_gas",0.157018160001357
"GTEX-11TT1-0726-SM-5GU5A",11,"stomach",0.121076574266684
"GTEX-11TT1-0926-SM-5GU5M",19,"colon",0.399889997994616
"GTEX-11TT1-1026-SM-5PNW7",17,"colon",0.478042062096982
"GTEX-11TT1-1126-SM-5P9GV",-7,"thyroid",-0.303955749058623
"GTEX-11TT1-1626-SM-5EQL7",1,"lung",-0.0593187875366861
"GTEX-11TT1-2026-SM-5EQM8",7,"prostate",-0.112263251820794
"GTEX-11TTK-0826-SM-5N9EG",-29,"thyroid",-0.623128169670369
"GTEX-11TTK-1926-SM-5PNW8",9,"kidney",0.719679393688867
"GTEX-11TTK-2426-SM-5PNYO",-15,"colon",-0.374061099124613
"GTEX-11TUW-0226-SM-5LU8X",-27,"thyroid",-0.480724388271396
"GTEX-11TUW-0526-SM-5LU9A",-7,"lung",-0.240685230825321
"GTEX-11TUW-1326-SM-5EQKV",17,"esophagus_muc",0.226657313115437
"GTEX-11TUW-2026-SM-5EQL8",-15,"colon",-0.198918168702469
"GTEX-11TUW-2126-SM-5GU7B",-5,"prostate",-0.16036808406845
"GTEX-11TUW-2326-SM-5EQMO",-3,"colon",-0.113442562506355
"GTEX-11TUW-2426-SM-5EQKB",1,"salivary",0.0179579170096872
"GTEX-11UD2-0626-SM-5GU6L",-27,"thyroid",-0.421162164464519
"GTEX-11UD2-0726-SM-5EQ69",-11,"lung",-0.35850534114865
"GTEX-11UD2-1526-SM-5EQLQ",-19,"esophagus_gas",-0.274938608067844
"GTEX-11VI4-0226-SM-5GU6C",-33,"thyroid",-0.665495886614833
"GTEX-11VI4-0326-SM-5EQ6L",-7,"stomach",-0.225262685211862
"GTEX-11VI4-0526-SM-5EQ48",-9,"esophagus_muc",-0.318102517320782
"GTEX-11VI4-0626-SM-5EQLO",-19,"esophagus_mus",-0.262718627127421
"GTEX-11VI4-0826-SM-5GU5N",-21,"esophagus_gas",-0.39174749474784
"GTEX-11VI4-1526-SM-5EQKC",-13,"colon",-0.261302934290553
"GTEX-11WQC-0626-SM-5EQMF",-29,"lung",-0.601448806297515
"GTEX-11WQC-0726-SM-5EQMR",-31,"liver",-0.643225206423857
"GTEX-11WQK-1226-SM-5GU5Z",-7,"lung",-0.0880318071845753
"GTEX-11WQK-2126-SM-5EQME",-11,"colon",-0.203147426420862
"GTEX-11WQK-2226-SM-5CVL7",-9,"esophagus_gas",-0.127713637398014
"GTEX-11WQK-2526-SM-5CVL8",-5,"colon",-0.0878364759151646
"GTEX-11WQK-2626-SM-5EQ4K",3,"stomach",0.0631158010707423
"GTEX-11WQK-2726-SM-5EQMU",5,"prostate",-0.111339733153432
"GTEX-11WQK-2926-SM-5EQKT",23,"salivary",0.731498680724059
"GTEX-11XUK-0726-SM-5EQMX",-5,"esophagus_mus",-0.172033161888526
"GTEX-11XUK-0826-SM-5GU6P",-7,"esophagus_muc",-0.195399444863882
"GTEX-11XUK-0926-SM-5EQL3",-5,"esophagus_gas",-0.273619177457483
"GTEX-11ZTS-1126-SM-5LU9X",-35,"thyroid",-0.633862906962888
"GTEX-11ZTS-1226-SM-5EQMQ",-25,"lung",-0.271911061510897
"GTEX-11ZTS-1426-SM-5EQMM",-31,"liver",-0.744587185681113
"GTEX-11ZTS-1526-SM-5N9G7",-21,"colon",-0.380438636270671
"GTEX-11ZTS-2326-SM-5EQMY",-35,"uterus",-0.635689741819289
"GTEX-11ZTS-2626-SM-5EGIC",5,"esophagus_muc",-0.141544633903501
"GTEX-11ZTS-2726-SM-5EQLU",-23,"esophagus_gas",-0.45931926696397
"GTEX-11ZTS-3026-SM-5EQM7",25,"salivary",0.900387564973973
"GTEX-11ZTT-0626-SM-5EQLM",-23,"lung",-0.529787768648695
"GTEX-11ZTT-0926-SM-5EQMS",-9,"esophagus_mus",-0.217632690437607
"GTEX-11ZTT-1026-SM-5EQKF",-33,"thyroid",-0.520753995962644
"GTEX-11ZTT-1626-SM-5EQKR",-11,"colon",-0.147422382587383
"GTEX-11ZTT-1726-SM-5EQL4",-23,"uterus",-0.456469109743001
"GTEX-11ZTT-2226-SM-5CVLP",3,"salivary",-0.0990011938198924
"GTEX-11ZTT-2326-SM-5EQLG",3,"breast",0.084193019604641
"GTEX-11ZU8-1126-SM-5EQ5K",-11,"colon",-0.1799486855193
"GTEX-11ZU8-1526-SM-5EGHX",-3,"esophagus_muc",-0.0518207332676613
"GTEX-11ZUS-0126-SM-5EQM5",-29,"lung",-0.600063488802828
"GTEX-11ZUS-0926-SM-5FQSY",-29,"esophagus_mus",-0.485740592795908
"GTEX-11ZUS-2126-SM-5N9E6",-29,"prostate",-0.535264862205982
"GTEX-11ZUS-2526-SM-59872",-35,"liver",-0.747699930045146
"GTEX-11ZVC-0126-SM-5986G",-33,"thyroid",-0.575928639137929
"GTEX-11ZVC-0726-SM-5FQT9",-33,"liver",-0.639546127503488
"GTEX-11ZVC-2126-SM-5EGJ1",7,"colon",-0.0188985115226859
"GTEX-1211K-0726-SM-5FQUW",-37,"thyroid",-0.604874774332684
"GTEX-1211K-0826-SM-5FQUP",-7,"lung",-0.222389322551976
"GTEX-1211K-0926-SM-5FQTL",23,"esophagus_muc",0.333010588180748
"GTEX-1211K-1026-SM-5EQ4B",-13,"esophagus_mus",-0.287545991662367
"GTEX-1211K-1326-SM-5FQV2",-29,"esophagus_gas",-0.349352958602431
"GTEX-1211K-1426-SM-5FQTF",-7,"stomach",-0.194126112530107
"GTEX-1211K-1726-SM-5FQUJ",-27,"colon",-0.483395757473633
"GTEX-1211K-1826-SM-5EGJ2",-15,"colon",-0.273450355671481
"GTEX-1211K-1926-SM-5EQLB",3,"breast",-0.00817808075469744
"GTEX-1212Z-0226-SM-59HLF",-21,"liver",-0.553798634270018
"GTEX-1212Z-0426-SM-5FQT6",-33,"thyroid",-0.523791984459729
"GTEX-1212Z-1026-SM-5EGJ8",-15,"lung",-0.37163373678724
"GTEX-1212Z-1826-SM-5FQSH",-19,"colon",-0.314467625016718
"GTEX-1212Z-2026-SM-5N9EA",-11,"esophagus_mus",-0.142027975823143
"GTEX-1212Z-2126-SM-5FQTM",5,"esophagus_muc",-0.171371143346981
"GTEX-12584-0826-SM-5FQSK",-37,"thyroid",-0.759021563459251
"GTEX-12584-1426-SM-5EGJ9",-15,"lung",-0.0807711790256387
"GTEX-12696-0326-SM-5EGL4",-35,"thyroid",-0.503779244892272
"GTEX-12696-0826-SM-5EGGE",-29,"liver",-0.64609222352475
"GTEX-12696-0926-SM-5FQTV",-5,"kidney",-0.0462502733679333
"GTEX-12696-1026-SM-5FQUV",-21,"lung",-0.419215018635959
"GTEX-12696-1326-SM-5FQTJ",-3,"esophagus_muc",-0.23593296596485
"GTEX-12696-1426-SM-5EGJ6",-21,"esophagus_mus",-0.323191215504104
"GTEX-12696-1526-SM-5EGL6",-31,"esophagus_gas",-0.500643140421089
"GTEX-12696-1726-SM-5EQLH",-31,"stomach",-0.614914830273635
"GTEX-12696-1926-SM-5EGJT",-11,"colon",-0.295787514727689
"GTEX-12696-2226-SM-5EQ65",-11,"prostate",-0.139081954058147
"GTEX-1269C-0226-SM-5EGKS",-27,"thyroid",-0.50151788764948
"GTEX-1269C-0626-SM-5FQSS",-21,"liver",-0.619412271491036
"GTEX-1269C-2426-SM-5FQSN",-23,"breast",-0.462833413587608
"GTEX-12BJ1-0426-SM-5FQSO",-33,"thyroid",-0.565233167242273
"GTEX-12BJ1-1026-SM-5EGJA",-21,"lung",-0.361377918028478
"GTEX-12BJ1-1226-SM-5LUAE",-17,"prostate",-0.379411578645812
"GTEX-12BJ1-1426-SM-5BC5Q",-9,"esophagus_mus",-0.182774864876081
"GTEX-12BJ1-1526-SM-5LUAQ",-23,"esophagus_gas",-0.379554301149541
"GTEX-12BJ1-1626-SM-5HL8Y",-11,"esophagus_muc",-0.170136671190995
"GTEX-12BJ1-1726-SM-5HL9B",-3,"stomach",-0.25345932527957
"GTEX-12BJ1-2026-SM-5FQUH",-19,"colon",-0.26463811562849
"GTEX-12BJ1-2126-SM-5BC5O",-13,"colon",-0.22622794678406
"GTEX-12C56-0426-SM-5FQU1",-19,"esophagus_gas",-0.372943155383378
"GTEX-12C56-0526-SM-5FQST",-5,"stomach",-0.087268017305933
"GTEX-12C56-0626-SM-5EGGC",-11,"colon",-0.339230915212598
"GTEX-12C56-1126-SM-5FQTO",-19,"esophagus_mus",-0.277719280794645
"GTEX-12C56-1226-SM-5FQSU",5,"esophagus_muc",-0.0369748094467835
"GTEX-12C56-1326-SM-5FQSV",-27,"prostate",-0.446262834460694
"GTEX-12KS4-0726-SM-5FQSX",21,"lung",0.0870979231361858
"GTEX-12KS4-0926-SM-5BC5S",3,"esophagus_muc",0.0605915351980263
"GTEX-12KS4-1326-SM-5LUB3",-7,"liver",-0.310185425381839
"GTEX-12KS4-2326-SM-5EGJB",-17,"colon",-0.334510205086203
"GTEX-12KS4-2426-SM-5LU8P",-7,"colon",-0.347325621075345
"GTEX-12WSA-1026-SM-5EGHN",-31,"lung",-0.619423218286437
"GTEX-12WSA-1426-SM-5EGJU",-25,"esophagus_muc",-0.444457163815223
"GTEX-12WSB-0626-SM-59HJO",-35,"breast",-0.6308114161188
"GTEX-12WSB-0726-SM-5N9GD",-17,"thyroid",-0.32076649932045
"GTEX-12WSC-0826-SM-5EQ5Q",-27,"thyroid",-0.525725837197039
"GTEX-12WSD-0826-SM-5GCNE",-27,"lung",-0.364195182983858
"GTEX-12WSD-0926-SM-5GCNL",-33,"thyroid",-0.603261741635245
"GTEX-12WSD-1426-SM-5GCN9",-33,"liver",-0.57110173932296
"GTEX-12WSD-1826-SM-5GCOA",13,"esophagus_muc",-0.101345992907773
"GTEX-12WSD-1926-SM-5GCOV",-5,"esophagus_mus",-0.114303401842209
"GTEX-12WSD-2026-SM-5HL7D",-15,"esophagus_gas",-0.321431480855442
"GTEX-12WSD-2326-SM-59HKQ",-1,"stomach",-0.238779790296194
"GTEX-12WSD-2626-SM-5EGJE",-23,"colon",-0.293586440793133
"GTEX-12WSD-2826-SM-59HKT",-33,"uterus",-0.689741780370393
"GTEX-12WSE-0826-SM-5S2VL",-31,"lung",-0.643837292785498
"GTEX-12WSG-0326-SM-5FQU3",-13,"lung",-0.243826180339407
"GTEX-12WSG-0626-SM-5FQTQ",-1,"liver",-0.129774965197832
"GTEX-12WSG-0826-SM-5EQ5A",-11,"kidney",-0.312042713335224
"GTEX-12WSG-2026-SM-5FQUU",-33,"stomach",-0.593716209005408
"GTEX-12WSG-2126-SM-5EGJ7",-25,"uterus",-0.562922603253618
"GTEX-12WSG-2426-SM-5EQLZ",-21,"colon",-0.236529940708172
"GTEX-12WSH-0226-SM-5GCOG",-25,"thyroid",-0.496572939682699
"GTEX-12WSI-0226-SM-5GCNA",-27,"liver",-0.593950711775203
"GTEX-12WSI-0826-SM-5EGKD",-13,"lung",-0.263361717160581
"GTEX-12WSJ-0226-SM-5GCP7",-7,"lung",-0.154872142563058
